Unnamed: 0,SVM,RF,GB,Arquivo,Dataset,Imputer,Métrica
1,0.6758832565284179,0.6758832565284179,0.5768049155145929,hosp1_LPMD2_auc.csv,1,LPMD2,AUC
2,0.7465437788018432,0.6021505376344086,0.6689708141321045,hosp1_LPMD2_auc.csv,1,LPMD2,AUC
3,0.738863287250384,0.706605222734255,0.6044546850998463,hosp1_LPMD2_auc.csv,1,LPMD2,AUC
4,0.6487455197132616,0.8046594982078854,0.6317204301075268,hosp1_LPMD2_auc.csv,1,LPMD2,AUC
0,0.6666666666666666,0.6666666666666666,1.0,hosp1_KNN_sen.csv,1,KNN,Recall
1,0.5714285714285714,0.4285714285714285,0.5714285714285714,hosp1_KNN_sen.csv,1,KNN,Recall
2,0.5714285714285714,0.7142857142857143,0.5714285714285714,hosp1_KNN_sen.csv,1,KNN,Recall
3,0.7142857142857143,0.8571428571428571,0.7142857142857143,hosp1_KNN_sen.csv,1,KNN,Recall
4,0.5,0.8333333333333334,0.5,hosp1_KNN_sen.csv,1,KNN,Recall
0,0.625,0.8333333333333334,0.7083333333333334,hosp4_SAEI_spe.csv,4,SAEI,Specificity
1,0.8333333333333334,0.8333333333333334,0.8333333333333334,hosp4_SAEI_spe.csv,4,SAEI,Specificity
2,0.5,0.5833333333333334,0.625,hosp4_SAEI_spe.csv,4,SAEI,Specificity
3,0.782608695652174,0.6521739130434783,0.6521739130434783,hosp4_SAEI_spe.csv,4,SAEI,Specificity
4,0.5652173913043478,0.6956521739130435,0.6086956521739131,hosp4_SAEI_spe.csv,4,SAEI,Specificity
0,0.8659799699876036,0.8226006393945325,0.8323546682325308,hosp2_MICE_auc.csv,2,MICE,AUC
1,0.8339272756591147,0.8449810529710553,0.8355075384987503,hosp2_MICE_auc.csv,2,MICE,AUC
2,0.8567282109167137,0.8411593969200999,0.8369991131177941,hosp2_MICE_auc.csv,2,MICE,AUC
3,0.8320486978956705,0.8503910344271547,0.8531645569620253,hosp2_MICE_auc.csv,2,MICE,AUC
4,0.8586148512456663,0.8485205192292188,0.8278319761348061,hosp2_MICE_auc.csv,2,MICE,AUC
0,0.7439799854060253,0.7993849682059836,0.7794224955696862,hosp3_PMIVAE_auc.csv,3,PMIVAE,AUC
1,0.7236005420619201,0.7240175127697279,0.6935265297612843,hosp3_PMIVAE_auc.csv,3,PMIVAE,AUC
2,0.7114969744803998,0.7382794001578533,0.7400157853196527,hosp3_PMIVAE_auc.csv,3,PMIVAE,AUC
3,0.7356132075471699,0.7464884696016771,0.694077568134172,hosp3_PMIVAE_auc.csv,3,PMIVAE,AUC
4,0.7659329140461216,0.7555031446540881,0.7611111111111112,hosp3_PMIVAE_auc.csv,3,PMIVAE,AUC
0,0.6981132075471698,0.7358490566037735,0.7075471698113207,hosp3_MICE_sen.csv,3,MICE,Recall
1,0.7264150943396226,0.6698113207547169,0.6415094339622641,hosp3_MICE_sen.csv,3,MICE,Recall
2,0.6285714285714286,0.7142857142857143,0.7047619047619048,hosp3_MICE_sen.csv,3,MICE,Recall
3,0.6509433962264151,0.6698113207547169,0.6886792452830188,hosp3_MICE_sen.csv,3,MICE,Recall
4,0.6981132075471698,0.7169811320754716,0.7264150943396226,hosp3_MICE_sen.csv,3,MICE,Recall
0,0.8205128205128205,0.7307692307692307,0.6666666666666666,hosp2_LPMD2_sen.csv,2,LPMD2,Recall
1,0.759493670886076,0.8734177215189873,0.8227848101265823,hosp2_LPMD2_sen.csv,2,LPMD2,Recall
2,0.810126582278481,0.810126582278481,0.7721518987341772,hosp2_LPMD2_sen.csv,2,LPMD2,Recall
3,0.7468354430379747,0.7848101265822784,0.7468354430379747,hosp2_LPMD2_sen.csv,2,LPMD2,Recall
4,0.7974683544303798,0.8354430379746836,0.7721518987341772,hosp2_LPMD2_sen.csv,2,LPMD2,Recall
0,0.8076923076923077,0.717948717948718,0.7564102564102564,hosp2_LPMD_sen.csv,2,LPMD,Recall
1,0.7721518987341772,0.7848101265822784,0.7974683544303798,hosp2_LPMD_sen.csv,2,LPMD,Recall
2,0.7721518987341772,0.7721518987341772,0.7341772151898734,hosp2_LPMD_sen.csv,2,LPMD,Recall
3,0.759493670886076,0.7848101265822784,0.8354430379746836,hosp2_LPMD_sen.csv,2,LPMD,Recall
4,0.810126582278481,0.7721518987341772,0.759493670886076,hosp2_LPMD_sen.csv,2,LPMD,Recall
0,0.766025641025641,0.7435897435897436,0.6955128205128206,hosp4_LPMD_auc.csv,4,LPMD,AUC
1,0.7467948717948718,0.7371794871794872,0.75,hosp4_LPMD_auc.csv,4,LPMD,AUC
2,0.641025641025641,0.6650641025641026,0.6794871794871795,hosp4_LPMD_auc.csv,4,LPMD,AUC
3,0.8167701863354038,0.7204968944099379,0.5745341614906833,hosp4_LPMD_auc.csv,4,LPMD,AUC
4,0.7298136645962733,0.6956521739130435,0.5838509316770186,hosp4_LPMD_auc.csv,4,LPMD,AUC
0,0.858974358974359,0.833920532393815,0.8362367064657141,hosp2_LPMD_auc.csv,2,LPMD,AUC
1,0.8299524308635008,0.8387890026606467,0.8319761348060952,hosp2_LPMD_auc.csv,2,LPMD,AUC
2,0.8516004192534065,0.8412480851406918,0.8161493187132145,hosp2_LPMD_auc.csv,2,LPMD,AUC
3,0.8295170523260502,0.8475933241957591,0.8482625171329516,hosp2_LPMD_auc.csv,2,LPMD,AUC
4,0.8551318229460615,0.8538418124647263,0.8290252358300411,hosp2_LPMD_auc.csv,2,LPMD,AUC
0,0.6464088397790055,0.6795580110497238,0.7071823204419889,hosp3_Mean_spe.csv,3,Mean,Specificity
1,0.5966850828729282,0.6740331491712708,0.6574585635359116,hosp3_Mean_spe.csv,3,Mean,Specificity
2,0.6795580110497238,0.6353591160220995,0.6685082872928176,hosp3_Mean_spe.csv,3,Mean,Specificity
3,0.7222222222222222,0.6722222222222223,0.65,hosp3_Mean_spe.csv,3,Mean,Specificity
4,0.7111111111111111,0.7111111111111111,0.7388888888888889,hosp3_Mean_spe.csv,3,Mean,Specificity
0,0.7264150943396226,0.7452830188679245,0.7075471698113207,hosp3_SAEI_sen.csv,3,SAEI,Recall
1,0.7735849056603774,0.7169811320754716,0.6509433962264151,hosp3_SAEI_sen.csv,3,SAEI,Recall
2,0.638095238095238,0.6761904761904762,0.6666666666666666,hosp3_SAEI_sen.csv,3,SAEI,Recall
3,0.6320754716981132,0.6886792452830188,0.6132075471698113,hosp3_SAEI_sen.csv,3,SAEI,Recall
4,0.6792452830188679,0.6509433962264151,0.6698113207547169,hosp3_SAEI_sen.csv,3,SAEI,Recall
0,0.766025641025641,0.7403846153846153,0.7147435897435898,hosp4_Mean_auc.csv,4,Mean,AUC
1,0.7371794871794872,0.7211538461538461,0.7467948717948718,hosp4_Mean_auc.csv,4,Mean,AUC
2,0.5897435897435898,0.6762820512820513,0.7307692307692308,hosp4_Mean_auc.csv,4,Mean,AUC
3,0.7639751552795031,0.7298136645962733,0.5978260869565217,hosp4_Mean_auc.csv,4,Mean,AUC
4,0.7298136645962733,0.6987577639751552,0.5015527950310559,hosp4_Mean_auc.csv,4,Mean,AUC
0,0.6666666666666666,0.875,0.9166666666666666,hosp4_LPMD2_spe.csv,4,LPMD2,Specificity
1,0.875,0.9166666666666666,0.875,hosp4_LPMD2_spe.csv,4,LPMD2,Specificity
2,0.5833333333333334,0.4583333333333333,0.5,hosp4_LPMD2_spe.csv,4,LPMD2,Specificity
